Matrix of values from data file Obj_mmNew_340A.POU
  ZMin:   1.0600E+03    RMin:   0.0000E+00
  ZMax:   1.0900E+03    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz        Br
=============================================================================
   1067.200  0.0000E+00     6.2649E-03  6.2649E-03 -4.7540E-07
   1067.260  0.0000E+00     6.4922E-03  6.4922E-03  6.5953E-07
   1067.320  0.0000E+00     6.7342E-03  6.7342E-03  1.5633E-07
   1067.380  0.0000E+00     6.9757E-03  6.9757E-03 -3.4587E-07
   1067.440  0.0000E+00     7.2172E-03  7.2172E-03 -8.4808E-07
   1067.500  0.0000E+00     7.4911E-03  7.4911E-03  3.6283E-07
   1067.560  0.0000E+00     7.7614E-03  7.7614E-03 -1.8945E-07
   1067.620  0.0000E+00     8.0318E-03  8.0318E-03 -7.4172E-07
   1067.680  0.0000E+00     8.3279E-03  8.3279E-03  5.9916E-07
   1067.740  0.0000E+00     8.6300E-03  8.6300E-03 -1.7381E-08
   1067.800  0.0000E+00     8.9320E-03  8.9320E-03 -6.3392E-07
   1067.860  0.0000E+00     9.2498E-03  9.2498E-03  8.5370E-07
   1067.920  0.0000E+00     9.5865E-03  9.5865E-03  2.0305E-07
   1067.980  0.0000E+00     9.9232E-03  9.9232E-03 -4.4761E-07
   1068.040  0.0000E+00     1.0261E-02  1.0261E-02 -1.0996E-06
   1068.100  0.0000E+00     1.0638E-02  1.0638E-02  4.7467E-07
   1068.160  0.0000E+00     1.1012E-02  1.1012E-02 -2.3726E-07
   1068.220  0.0000E+00     1.1387E-02  1.1387E-02 -9.5061E-07
   1068.280  0.0000E+00     1.1792E-02  1.1792E-02  7.6332E-07
   1068.340  0.0000E+00     1.2206E-02  1.2206E-02 -1.1087E-08
   1068.400  0.0000E+00     1.2621E-02  1.2621E-02 -7.8703E-07
   1068.460  0.0000E+00     1.3053E-02  1.3053E-02  1.0674E-06
   1068.520  0.0000E+00     1.3510E-02  1.3510E-02  2.6267E-07
   1068.580  0.0000E+00     1.3968E-02  1.3968E-02 -5.4203E-07
   1068.640  0.0000E+00     1.4427E-02  1.4427E-02 -1.3483E-06
   1068.700  0.0000E+00     1.4932E-02  1.4932E-02  5.5874E-07
   1068.760  0.0000E+00     1.5435E-02  1.5435E-02 -2.8550E-07
   1068.820  0.0000E+00     1.5938E-02  1.5938E-02 -1.1314E-06
   1068.880  0.0000E+00     1.6474E-02  1.6474E-02  8.7902E-07
   1068.940  0.0000E+00     1.7024E-02  1.7024E-02  5.0454E-09
   1069.000  0.0000E+00     1.7574E-02  1.7574E-02 -8.7066E-07
   1069.060  0.0000E+00     1.8140E-02  1.8140E-02  1.1849E-06
   1069.120  0.0000E+00     1.8737E-02  1.8737E-02  3.0515E-07
   1069.180  0.0000E+00     1.9336E-02  1.9336E-02 -5.7638E-07
   1069.240  0.0000E+00     1.9934E-02  1.9934E-02 -1.4562E-06
   1069.300  0.0000E+00     2.0578E-02  2.0578E-02  5.9691E-07
   1069.360  0.0000E+00     2.1225E-02  2.1225E-02 -2.7702E-07
   1069.420  0.0000E+00     2.1870E-02  2.1870E-02 -1.1492E-06
   1069.480  0.0000E+00     2.2543E-02  2.2543E-02  8.7054E-07
   1069.540  0.0000E+00     2.3237E-02  2.3237E-02  2.8346E-08
   1069.600  0.0000E+00     2.3930E-02  2.3930E-02 -8.1218E-07
   1069.660  0.0000E+00     2.4630E-02  2.4630E-02  1.0872E-06
   1069.720  0.0000E+00     2.5368E-02  2.5368E-02  3.0893E-07
   1069.780  0.0000E+00     2.6105E-02  2.6105E-02 -4.6776E-07
   1069.840  0.0000E+00     2.6842E-02  2.6842E-02 -1.2444E-06
   1069.900  0.0000E+00     2.7611E-02  2.7611E-02  4.8883E-07
   1069.960  0.0000E+00     2.8389E-02  2.8389E-02 -2.0090E-07
   1070.020  0.0000E+00     2.9166E-02  2.9166E-02 -8.8926E-07
   1070.080  0.0000E+00     2.9956E-02  2.9956E-02  5.9926E-07
   1070.140  0.0000E+00     3.0769E-02  3.0769E-02  3.4675E-08
   1070.200  0.0000E+00     3.1580E-02  3.1580E-02 -5.2879E-07
   1070.260  0.0000E+00     3.2387E-02  3.2387E-02  6.3281E-07
   1070.320  0.0000E+00     3.3227E-02  3.3227E-02  2.2044E-07
   1070.380  0.0000E+00     3.4065E-02  3.4065E-02 -1.9111E-07
   1070.440  0.0000E+00     3.4903E-02  3.4903E-02 -6.0266E-07
   1070.500  0.0000E+00     3.5743E-02  3.5743E-02  2.2916E-07
   1070.560  0.0000E+00     3.6598E-02  3.6598E-02  8.6042E-09
   1070.620  0.0000E+00     3.7454E-02  3.7454E-02 -2.1196E-07
   1070.680  0.0000E+00     3.8300E-02  3.8300E-02  1.1761E-07
   1070.740  0.0000E+00     3.9163E-02  3.9163E-02  6.4423E-08
   1070.800  0.0000E+00     4.0025E-02  4.0025E-02  1.1240E-08
   1070.860  0.0000E+00     4.0869E-02  4.0869E-02 -2.3027E-07
   1070.920  0.0000E+00     4.1727E-02  4.1727E-02 -6.9616E-09
   1070.980  0.0000E+00     4.2586E-02  4.2586E-02  2.1634E-07
   1071.040  0.0000E+00     4.3445E-02  4.3445E-02  4.4009E-07
   1071.100  0.0000E+00     4.4268E-02  4.4268E-02 -1.8545E-07
   1071.160  0.0000E+00     4.5109E-02  4.5109E-02  2.3366E-07
   1071.220  0.0000E+00     4.5951E-02  4.5951E-02  6.5277E-07
   1071.280  0.0000E+00     4.6756E-02  4.6756E-02 -5.5601E-07
   1071.340  0.0000E+00     4.7568E-02  4.7568E-02  6.1851E-08
   1071.400  0.0000E+00     4.8381E-02  4.8381E-02  6.7971E-07
   1071.460  0.0000E+00     4.9165E-02  4.9165E-02 -1.1415E-06
   1071.520  0.0000E+00     4.9936E-02  4.9936E-02 -2.6448E-07
   1071.580  0.0000E+00     5.0707E-02  5.0707E-02  6.1257E-07
   1071.640  0.0000E+00     5.1479E-02  5.1479E-02  1.4914E-06
   1071.700  0.0000E+00     5.2185E-02  5.2185E-02 -5.8842E-07
   1071.760  0.0000E+00     5.2905E-02  5.2905E-02  4.3779E-07
   1071.820  0.0000E+00     5.3627E-02  5.3627E-02  1.4660E-06
   1071.880  0.0000E+00     5.4291E-02  5.4291E-02 -1.1767E-06
   1071.940  0.0000E+00     5.4949E-02  5.4949E-02  2.3362E-08
   1072.000  0.0000E+00     5.5609E-02  5.5609E-02  1.2258E-06
   1072.060  0.0000E+00     5.6238E-02  5.6238E-02 -1.7241E-06
   1072.120  0.0000E+00     5.6828E-02  5.6828E-02 -4.2849E-07
   1072.180  0.0000E+00     5.7419E-02  5.7419E-02  8.6966E-07
   1072.240  0.0000E+00     5.8009E-02  5.8009E-02  2.1652E-06
   1072.300  0.0000E+00     5.8520E-02  5.8520E-02 -9.1571E-07
   1072.360  0.0000E+00     5.9037E-02  5.9037E-02  4.8966E-07
   1072.420  0.0000E+00     5.9553E-02  5.9553E-02  1.8923E-06
   1072.480  0.0000E+00     6.0015E-02  6.0015E-02 -1.4596E-06
   1072.540  0.0000E+00     6.0453E-02  6.0453E-02 -9.7274E-09
   1072.600  0.0000E+00     6.0892E-02  6.0892E-02  1.4430E-06
   1072.660  0.0000E+00     6.1305E-02  6.1305E-02 -1.9477E-06
   1072.720  0.0000E+00     6.1664E-02  6.1664E-02 -4.9764E-07
   1072.780  0.0000E+00     6.2024E-02  6.2024E-02  9.5527E-07
   1072.840  0.0000E+00     6.2383E-02  6.2383E-02  2.4053E-06
   1072.900  0.0000E+00     6.2663E-02  6.2663E-02 -1.0106E-06
   1072.960  0.0000E+00     6.2942E-02  6.2942E-02  4.6592E-07
   1073.020  0.0000E+00     6.3221E-02  6.3221E-02  1.9395E-06
   1073.080  0.0000E+00     6.3451E-02  6.3451E-02 -1.4658E-06
   1073.140  0.0000E+00     6.3650E-02  6.3650E-02 -1.8004E-08
   1073.200  0.0000E+00     6.3850E-02  6.3850E-02  1.4269E-06
   1073.260  0.0000E+00     6.4025E-02  6.4025E-02 -1.9298E-06
   1073.320  0.0000E+00     6.4146E-02  6.4146E-02 -4.9085E-07
   1073.380  0.0000E+00     6.4267E-02  6.4267E-02  9.4524E-07
   1073.440  0.0000E+00     6.4388E-02  6.4388E-02  2.3813E-06
   1073.500  0.0000E+00     6.4432E-02  6.4432E-02 -9.8039E-07
   1073.560  0.0000E+00     6.4474E-02  6.4474E-02  4.6071E-07
   1073.620  0.0000E+00     6.4516E-02  6.4516E-02  1.9018E-06
