Matrix of values from data file Cathode_N_PML_450A_mmNew.POU
  ZMin:   6.0000E+01    RMin:   0.0000E+00
  ZMax:   9.0000E+01    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|          Bz         Br
=============================================================================
  6.6420E+01  0.0000E+00     2.3770E-04  2.3770E-04  7.1827E-09
  6.6480E+01  0.0000E+00     2.4269E-04  2.4269E-04 -3.6015E-09
  6.6540E+01  0.0000E+00     2.4785E-04  2.4785E-04  3.7887E-09
  6.6600E+01  0.0000E+00     2.5314E-04  2.5314E-04 -7.6838E-09
  6.6660E+01  0.0000E+00     2.5871E-04  2.5871E-04  2.3965E-12
  6.6720E+01  0.0000E+00     2.6440E-04  2.6440E-04  8.6137E-09
  6.6780E+01  0.0000E+00     2.7036E-04  2.7036E-04 -4.3458E-09
  6.6840E+01  0.0000E+00     2.7651E-04  2.7651E-04  4.5719E-09
  6.6900E+01  0.0000E+00     2.8284E-04  2.8284E-04 -9.1948E-09
  6.6960E+01  0.0000E+00     2.8950E-04  2.8950E-04 -3.0748E-11
  6.7020E+01  0.0000E+00     2.9629E-04  2.9629E-04  1.0339E-08
  6.7080E+01  0.0000E+00     3.0341E-04  3.0341E-04 -5.2126E-09
  6.7140E+01  0.0000E+00     3.1077E-04  3.1077E-04  5.4723E-09
  6.7200E+01  0.0000E+00     3.1833E-04  3.1833E-04 -1.1053E-08
  6.7260E+01  0.0000E+00     3.2630E-04  3.2630E-04 -8.0591E-11
  6.7320E+01  0.0000E+00     3.3442E-04  3.3442E-04  1.2390E-08
  6.7380E+01  0.0000E+00     3.4294E-04  3.4294E-04 -6.2118E-09
  6.7440E+01  0.0000E+00     3.5175E-04  3.5175E-04  6.6050E-09
  6.7500E+01  0.0000E+00     3.6079E-04  3.6079E-04 -1.3297E-08
  6.7560E+01  0.0000E+00     3.7032E-04  3.7032E-04 -8.3561E-11
  6.7620E+01  0.0000E+00     3.8005E-04  3.8005E-04  1.4838E-08
  6.7680E+01  0.0000E+00     3.9025E-04  3.9025E-04 -7.5851E-09
  6.7740E+01  0.0000E+00     4.0079E-04  4.0079E-04  7.8792E-09
  6.7800E+01  0.0000E+00     4.1162E-04  4.1162E-04 -1.5921E-08
  6.7860E+01  0.0000E+00     4.2303E-04  4.2303E-04 -1.0457E-10
  6.7920E+01  0.0000E+00     4.3468E-04  4.3468E-04  1.7915E-08
  6.7980E+01  0.0000E+00     4.4690E-04  4.4690E-04 -9.1233E-09
  6.8040E+01  0.0000E+00     4.5952E-04  4.5952E-04  9.4011E-09
  6.8100E+01  0.0000E+00     4.7250E-04  4.7250E-04 -1.9247E-08
  6.8160E+01  0.0000E+00     4.8618E-04  4.8618E-04 -1.0520E-10
  6.8220E+01  0.0000E+00     5.0014E-04  5.0014E-04  2.1449E-08
  6.8280E+01  0.0000E+00     5.1478E-04  5.1478E-04 -1.1059E-08
  6.8340E+01  0.0000E+00     5.2993E-04  5.2993E-04  1.1254E-08
  6.8400E+01  0.0000E+00     5.4548E-04  5.4548E-04 -2.3259E-08
  6.8460E+01  0.0000E+00     5.6189E-04  5.6189E-04 -1.3983E-10
  6.8520E+01  0.0000E+00     5.7864E-04  5.7864E-04  2.5933E-08
  6.8580E+01  0.0000E+00     5.9620E-04  5.9620E-04 -1.3272E-08
  6.8640E+01  0.0000E+00     6.1436E-04  6.1436E-04  1.3642E-08
  6.8700E+01  0.0000E+00     6.3303E-04  6.3303E-04 -2.8046E-08
  6.8760E+01  0.0000E+00     6.5273E-04  6.5273E-04 -3.0982E-10
  6.8820E+01  0.0000E+00     6.7284E-04  6.7284E-04  3.1135E-08
  6.8880E+01  0.0000E+00     6.9393E-04  6.9393E-04 -1.6053E-08
  6.8940E+01  0.0000E+00     7.1575E-04  7.1575E-04  1.6407E-08
  6.9000E+01  0.0000E+00     7.3818E-04  7.3818E-04 -3.4114E-08
  6.9060E+01  0.0000E+00     7.6185E-04  7.6185E-04 -3.8852E-10
  6.9120E+01  0.0000E+00     7.8602E-04  7.8602E-04  3.7887E-08
  6.9180E+01  0.0000E+00     8.1138E-04  8.1138E-04 -1.9396E-08
  6.9240E+01  0.0000E+00     8.3762E-04  8.3762E-04  1.9921E-08
  6.9300E+01  0.0000E+00     8.6459E-04  8.6459E-04 -4.1303E-08
