Matrix of values from data file Adj_mmNew_275A.POU
  ZMin:   3.5000E+02    RMin:   0.0000E+00
  ZMax:   3.9000E+02    RMax:   1.0000E+00
  NZ: 500    NR: 500
Z                 R             |B|         Bz         Br
=============================================================================
  3.6528E+02  0.0000E+00     2.6283E-02  2.6283E-02  7.6854E-08
  3.6536E+02  0.0000E+00     2.6685E-02  2.6685E-02  8.7666E-09
  3.6544E+02  0.0000E+00     2.7083E-02  2.7083E-02 -8.5673E-08
  3.6552E+02  0.0000E+00     2.7477E-02  2.7477E-02  1.6571E-07
  3.6560E+02  0.0000E+00     2.7862E-02  2.7862E-02  8.8431E-08
  3.6568E+02  0.0000E+00     2.8242E-02  2.8242E-02 -3.6062E-08
  3.6576E+02  0.0000E+00     2.8615E-02  2.8615E-02 -1.8251E-07
  3.6584E+02  0.0000E+00     2.8980E-02  2.8980E-02  2.0497E-07
  3.6592E+02  0.0000E+00     2.9335E-02  2.9335E-02  5.7627E-08
  3.6600E+02  0.0000E+00     2.9682E-02  2.9682E-02 -1.0754E-07
  3.6608E+02  0.0000E+00     3.0020E-02  3.0020E-02 -3.1673E-07
  3.6616E+02  0.0000E+00     3.0345E-02  3.0345E-02  1.9451E-07
  3.6624E+02  0.0000E+00     3.0659E-02  3.0659E-02  9.8305E-09
  3.6632E+02  0.0000E+00     3.0963E-02  3.0963E-02 -2.1653E-07
  3.6640E+02  0.0000E+00     3.1255E-02  3.1255E-02  3.7670E-07
  3.6648E+02  0.0000E+00     3.1530E-02  3.1530E-02  1.6365E-07
  3.6656E+02  0.0000E+00     3.1793E-02  3.1793E-02 -7.9161E-08
  3.6664E+02  0.0000E+00     3.2044E-02  3.2044E-02 -3.3686E-07
  3.6672E+02  0.0000E+00     3.2279E-02  3.2279E-02  3.5012E-07
  3.6680E+02  0.0000E+00     3.2496E-02  3.2496E-02  9.2037E-08
  3.6688E+02  0.0000E+00     3.2700E-02  3.2700E-02 -1.8184E-07
  3.6696E+02  0.0000E+00     3.2889E-02  3.2889E-02 -4.8470E-07
  3.6704E+02  0.0000E+00     3.3058E-02  3.3058E-02  2.9299E-07
  3.6712E+02  0.0000E+00     3.3210E-02  3.3210E-02  1.1300E-09
  3.6720E+02  0.0000E+00     3.3347E-02  3.3347E-02 -3.0773E-07
  3.6728E+02  0.0000E+00     3.3468E-02  3.3468E-02  5.1288E-07
  3.6736E+02  0.0000E+00     3.3565E-02  3.3565E-02  2.0807E-07
  3.6744E+02  0.0000E+00     3.3646E-02  3.3646E-02 -1.0813E-07
  3.6752E+02  0.0000E+00     3.3712E-02  3.3712E-02 -4.3275E-07
  3.6760E+02  0.0000E+00     3.3757E-02  3.3757E-02  4.2518E-07
  3.6768E+02  0.0000E+00     3.3781E-02  3.3781E-02  1.0281E-07
  3.6776E+02  0.0000E+00     3.3789E-02  3.3789E-02 -2.2160E-07
  3.6784E+02  0.0000E+00     3.3780E-02  3.3780E-02 -5.4442E-07
  3.6792E+02  0.0000E+00     3.3747E-02  3.3747E-02  3.1515E-07
  3.6800E+02  0.0000E+00     3.3697E-02  3.3697E-02 -7.8154E-09
  3.6808E+02  0.0000E+00     3.3632E-02  3.3632E-02 -3.2447E-07
  3.6816E+02  0.0000E+00     3.3548E-02  3.3548E-02  5.1596E-07
  3.6824E+02  0.0000E+00     3.3441E-02  3.3441E-02  1.9687E-07
  3.6832E+02  0.0000E+00     3.3319E-02  3.3319E-02 -1.1194E-07
  3.6840E+02  0.0000E+00     3.3181E-02  3.3181E-02 -4.0557E-07
  3.6848E+02  0.0000E+00     3.3024E-02  3.3024E-02  3.8161E-07
  3.6856E+02  0.0000E+00     3.2848E-02  3.2848E-02  8.1246E-08
  3.6864E+02  0.0000E+00     3.2659E-02  3.2659E-02 -1.9574E-07
  3.6872E+02  0.0000E+00     3.2455E-02  3.2455E-02 -4.5413E-07
  3.6880E+02  0.0000E+00     3.2230E-02  3.2230E-02  2.5246E-07
  3.6888E+02  0.0000E+00     3.1992E-02  3.1992E-02 -1.1141E-08
  3.6896E+02  0.0000E+00     3.1741E-02  3.1741E-02 -2.5693E-07
  3.6904E+02  0.0000E+00     3.1476E-02  3.1476E-02  3.8383E-07
  3.6912E+02  0.0000E+00     3.1195E-02  3.1195E-02  1.3467E-07
  3.6920E+02  0.0000E+00     3.0902E-02  3.0902E-02 -8.9341E-08
  3.6928E+02  0.0000E+00     3.0599E-02  3.0599E-02 -2.7126E-07
  3.6936E+02  0.0000E+00     3.0282E-02  3.0282E-02  2.4343E-07
  3.6944E+02  0.0000E+00     2.9953E-02  2.9953E-02  4.6383E-08
  3.6952E+02  0.0000E+00     2.9616E-02  2.9616E-02 -1.2144E-07
  3.6960E+02  0.0000E+00     2.9270E-02  2.9270E-02 -2.5806E-07
  3.6968E+02  0.0000E+00     2.8911E-02  2.8911E-02  1.3313E-07
  3.6976E+02  0.0000E+00     2.8546E-02  2.8546E-02 -1.7945E-08
  3.6984E+02  0.0000E+00     2.8174E-02  2.8174E-02 -1.2805E-07
  3.6992E+02  0.0000E+00     2.7794E-02  2.7794E-02  1.8693E-07
  3.7000E+02  0.0000E+00     2.7406E-02  2.7406E-02  5.5353E-08
  3.7008E+02  0.0000E+00     2.7014E-02  2.7014E-02 -3.3152E-08
  3.7016E+02  0.0000E+00     2.6617E-02  2.6617E-02 -1.1554E-07
  3.7024E+02  0.0000E+00     2.6213E-02  2.6213E-02  8.6439E-08
  3.7032E+02  0.0000E+00     2.5807E-02  2.5807E-02  9.9407E-09
  3.7040E+02  0.0000E+00     2.5398E-02  2.5398E-02 -4.7744E-08
  3.7048E+02  0.0000E+00     2.4987E-02  2.4987E-02 -5.6056E-08
  3.7056E+02  0.0000E+00     2.4571E-02  2.4571E-02  2.0442E-08
  3.7064E+02  0.0000E+00     2.4155E-02  2.4155E-02 -8.0184E-09
  3.7072E+02  0.0000E+00     2.3738E-02  2.3738E-02 -7.2030E-09
  3.7080E+02  0.0000E+00     2.3319E-02  2.3319E-02  6.9610E-09
  3.7088E+02  0.0000E+00     2.2901E-02  2.2901E-02 -1.2681E-08
  3.7096E+02  0.0000E+00     2.2484E-02  2.2484E-02 -3.5423E-09
  3.7104E+02  0.0000E+00     2.2067E-02  2.2067E-02  3.3075E-08
  3.7112E+02  0.0000E+00     2.1651E-02  2.1651E-02 -3.5166E-08
  3.7120E+02  0.0000E+00     2.1237E-02  2.1237E-02 -1.8520E-08
  3.7128E+02  0.0000E+00     2.0825E-02  2.0825E-02  3.3093E-08
  3.7136E+02  0.0000E+00     2.0415E-02  2.0415E-02  8.0338E-08
  3.7144E+02  0.0000E+00     2.0008E-02  2.0008E-02 -5.7028E-08
  3.7152E+02  0.0000E+00     1.9605E-02  1.9605E-02  2.2715E-09
  3.7160E+02  0.0000E+00     1.9204E-02  1.9204E-02  6.1813E-08
  3.7168E+02  0.0000E+00     1.8807E-02  1.8807E-02 -1.1252E-07
  3.7176E+02  0.0000E+00     1.8415E-02  1.8415E-02 -4.7027E-08
  3.7184E+02  0.0000E+00     1.8026E-02  1.8026E-02  2.6719E-08
  3.7192E+02  0.0000E+00     1.7642E-02  1.7642E-02  1.1006E-07
  3.7200E+02  0.0000E+00     1.7262E-02  1.7262E-02 -1.0664E-07
  3.7208E+02  0.0000E+00     1.6888E-02  1.6888E-02 -2.6167E-08
  3.7216E+02  0.0000E+00     1.6518E-02  1.6518E-02  6.2362E-08
  3.7224E+02  0.0000E+00     1.6153E-02  1.6153E-02  1.5662E-07
  3.7232E+02  0.0000E+00     1.5794E-02  1.5794E-02 -8.8246E-08
  3.7240E+02  0.0000E+00     1.5440E-02  1.5440E-02  3.9541E-09
  3.7248E+02  0.0000E+00     1.5091E-02  1.5091E-02  9.7742E-08
  3.7256E+02  0.0000E+00     1.4747E-02  1.4747E-02 -1.5883E-07
  3.7264E+02  0.0000E+00     1.4411E-02  1.4411E-02 -5.7445E-08
  3.7272E+02  0.0000E+00     1.4079E-02  1.4079E-02  3.5524E-08
  3.7280E+02  0.0000E+00     1.3753E-02  1.3753E-02  1.4159E-07
  3.7288E+02  0.0000E+00     1.3433E-02  1.3433E-02 -1.2756E-07
  3.7296E+02  0.0000E+00     1.3119E-02  1.3119E-02 -2.6999E-08
  3.7304E+02  0.0000E+00     1.2811E-02  1.2811E-02  7.4738E-08
  3.7312E+02  0.0000E+00     1.2507E-02  1.2507E-02  1.7014E-07
  3.7320E+02  0.0000E+00     1.2211E-02  1.2211E-02 -9.2005E-08
