      Z             R              Ez            Er            |E|           H 
    (cm)          (cm)           (MV/m)        (MV/m)        (MV/m)        (A/m) 
  0.945000       0.00000      5.956616E-01  0.000000E+00  5.956616E-01  0.000000E+00
  0.960000       0.00000      5.352511E-01  0.000000E+00  5.352511E-01  0.000000E+00
  0.975000       0.00000      4.808514E-01  0.000000E+00  4.808514E-01  0.000000E+00
  0.990000       0.00000      4.306783E-01  0.000000E+00  4.306783E-01  0.000000E+00
   1.00500       0.00000      3.851537E-01  0.000000E+00  3.851537E-01  0.000000E+00
   1.02000       0.00000      3.439735E-01  0.000000E+00  3.439735E-01  0.000000E+00
   1.03500       0.00000      3.076559E-01  0.000000E+00  3.076559E-01  0.000000E+00
   1.05000       0.00000      2.742319E-01  0.000000E+00  2.742319E-01  0.000000E+00
   1.06500       0.00000      2.442220E-01  0.000000E+00  2.442220E-01  0.000000E+00
   1.08000       0.00000      2.173216E-01  0.000000E+00  2.173216E-01  0.000000E+00
   1.09500       0.00000      1.938912E-01  0.000000E+00  1.938912E-01  0.000000E+00
   1.11000       0.00000      1.723457E-01  0.000000E+00  1.723457E-01  0.000000E+00
   1.12500       0.00000      1.531192E-01  0.000000E+00  1.531192E-01  0.000000E+00
   1.14000       0.00000      1.359746E-01  0.000000E+00  1.359746E-01  0.000000E+00
   1.15500       0.00000      1.211471E-01  0.000000E+00  1.211471E-01  0.000000E+00
   1.17000       0.00000      1.075169E-01  0.000000E+00  1.075169E-01  0.000000E+00
   1.18500       0.00000      9.539577E-02  0.000000E+00  9.539577E-02  0.000000E+00
   1.20000       0.00000      8.461846E-02  0.000000E+00  8.461846E-02  0.000000E+00
   1.21500       0.00000      7.533433E-02  0.000000E+00  7.533433E-02  0.000000E+00
   1.23000       0.00000      6.680115E-02  0.000000E+00  6.680115E-02  0.000000E+00
   1.24500       0.00000      5.922708E-02  0.000000E+00  5.922708E-02  0.000000E+00
   1.26000       0.00000      5.250346E-02  0.000000E+00  5.250346E-02  0.000000E+00
   1.27500       0.00000      4.672382E-02  0.000000E+00  4.672382E-02  0.000000E+00
   1.29000       0.00000      4.141203E-02  0.000000E+00  4.141203E-02  0.000000E+00
   1.30500       0.00000      3.670214E-02  0.000000E+00  3.670214E-02  0.000000E+00
   1.32000       0.00000      3.252472E-02  0.000000E+00  3.252472E-02  0.000000E+00
   1.33500       0.00000      2.893798E-02  0.000000E+00  2.893798E-02  0.000000E+00
   1.35000       0.00000      2.564169E-02  0.000000E+00  2.564169E-02  0.000000E+00
   1.36500       0.00000      2.272055E-02  0.000000E+00  2.272055E-02  0.000000E+00
   1.38000       0.00000      2.013088E-02  0.000000E+00  2.013088E-02  0.000000E+00
   1.39500       0.00000      1.790877E-02  0.000000E+00  1.790877E-02  0.000000E+00
   1.41000       0.00000      1.586664E-02  0.000000E+00  1.586664E-02  0.000000E+00
   1.42500       0.00000      1.405747E-02  0.000000E+00  1.405747E-02  0.000000E+00
   1.44000       0.00000      1.245400E-02  0.000000E+00  1.245400E-02  0.000000E+00
   1.45500       0.00000      1.107858E-02  0.000000E+00  1.107858E-02  0.000000E+00
   1.47000       0.00000      9.814568E-03  0.000000E+00  9.814568E-03  0.000000E+00
   1.48500       0.00000      8.694940E-03  0.000000E+00  8.694940E-03  0.000000E+00
   1.50000       0.00000      7.702743E-03  0.000000E+00  7.702743E-03  0.000000E+00
   1.51500       0.00000      6.851815E-03  0.000000E+00  6.851815E-03  0.000000E+00
   1.53000       0.00000      6.069817E-03  0.000000E+00  6.069817E-03  0.000000E+00
   1.54500       0.00000      5.377204E-03  0.000000E+00  5.377204E-03  0.000000E+00
   1.56000       0.00000      4.763466E-03  0.000000E+00  4.763466E-03  0.000000E+00
   1.57500       0.00000      4.237163E-03  0.000000E+00  4.237163E-03  0.000000E+00
   1.59000       0.00000      3.753495E-03  0.000000E+00  3.753495E-03  0.000000E+00
   1.60500       0.00000      3.325133E-03  0.000000E+00  3.325133E-03  0.000000E+00
   1.62000       0.00000      2.945567E-03  0.000000E+00  2.945567E-03  0.000000E+00
   1.63500       0.00000      2.620092E-03  0.000000E+00  2.620092E-03  0.000000E+00
   1.65000       0.00000      2.320984E-03  0.000000E+00  2.320984E-03  0.000000E+00
   1.66500       0.00000      2.056085E-03  0.000000E+00  2.056085E-03  0.000000E+00
   1.68000       0.00000      1.821367E-03  0.000000E+00  1.821367E-03  0.000000E+00
   1.69500       0.00000      1.620103E-03  0.000000E+00  1.620103E-03  0.000000E+00
   1.71000       0.00000      1.435144E-03  0.000000E+00  1.435144E-03  0.000000E+00
   1.72500       0.00000      1.271341E-03  0.000000E+00  1.271341E-03  0.000000E+00
   1.74000       0.00000      1.126203E-03  0.000000E+00  1.126203E-03  0.000000E+00
   1.75500       0.00000      1.001752E-03  0.000000E+00  1.001752E-03  0.000000E+00
   1.77000       0.00000      8.873841E-04  0.000000E+00  8.873841E-04  0.000000E+00
   1.78500       0.00000      7.860985E-04  0.000000E+00  7.860985E-04  0.000000E+00
   1.80000       0.00000      6.963546E-04  0.000000E+00  6.963546E-04  0.000000E+00
   1.81500       0.00000      6.194031E-04  0.000000E+00  6.194031E-04  0.000000E+00
   1.83000       0.00000      5.486858E-04  0.000000E+00  5.486858E-04  0.000000E+00
   1.84500       0.00000      4.860583E-04  0.000000E+00  4.860583E-04  0.000000E+00
   1.86000       0.00000      4.305675E-04  0.000000E+00  4.305675E-04  0.000000E+00
   1.87500       0.00000      3.829867E-04  0.000000E+00  3.829867E-04  0.000000E+00
   1.89000       0.00000      3.392607E-04  0.000000E+00  3.392607E-04  0.000000E+00
   1.90500       0.00000      3.005368E-04  0.000000E+00  3.005368E-04  0.000000E+00
   1.92000       0.00000      2.662259E-04  0.000000E+00  2.662259E-04  0.000000E+00
   1.93500       0.00000      2.368058E-04  0.000000E+00  2.368058E-04  0.000000E+00
   1.95000       0.00000      2.097693E-04  0.000000E+00  2.097693E-04  0.000000E+00
   1.96500       0.00000      1.858257E-04  0.000000E+00  1.858257E-04  0.000000E+00
   1.98000       0.00000      1.646108E-04  0.000000E+00  1.646108E-04  0.000000E+00
   1.99500       0.00000      1.464199E-04  0.000000E+00  1.464199E-04  0.000000E+00
   2.01000       0.00000      1.297028E-04  0.000000E+00  1.297028E-04  0.000000E+00
   2.02500       0.00000      1.148982E-04  0.000000E+00  1.148982E-04  0.000000E+00
   2.04000       0.00000      1.017807E-04  0.000000E+00  1.017807E-04  0.000000E+00
   2.05500       0.00000      9.053301E-05  0.000000E+00  9.053301E-05  0.000000E+00
   2.07000       0.00000      8.019662E-05  0.000000E+00  8.019662E-05  0.000000E+00
   2.08500       0.00000      7.104275E-05  0.000000E+00  7.104275E-05  0.000000E+00
   2.10000       0.00000      6.293208E-05  0.000000E+00  6.293208E-05  0.000000E+00
   2.11500       0.00000      5.597750E-05  0.000000E+00  5.597750E-05  0.000000E+00
   2.13000       0.00000      4.958638E-05  0.000000E+00  4.958638E-05  0.000000E+00
   2.14500       0.00000      4.392645E-05  0.000000E+00  4.392645E-05  0.000000E+00
   2.16000       0.00000      3.891155E-05  0.000000E+00  3.891155E-05  0.000000E+00
   2.17500       0.00000      3.461145E-05  0.000000E+00  3.461145E-05  0.000000E+00
   2.19000       0.00000      3.065976E-05  0.000000E+00  3.065976E-05  0.000000E+00
   2.20500       0.00000      2.716017E-05  0.000000E+00  2.716017E-05  0.000000E+00
   2.22000       0.00000      2.405942E-05  0.000000E+00  2.405942E-05  0.000000E+00
   2.23500       0.00000      2.140062E-05  0.000000E+00  2.140062E-05  0.000000E+00
   2.25000       0.00000      1.895726E-05  0.000000E+00  1.895726E-05  0.000000E+00
   2.26500       0.00000      1.679344E-05  0.000000E+00  1.679344E-05  0.000000E+00
   2.28000       0.00000      1.487623E-05  0.000000E+00  1.487623E-05  0.000000E+00
   2.29500       0.00000      1.323228E-05  0.000000E+00  1.323228E-05  0.000000E+00
   2.31000       0.00000      1.172154E-05  0.000000E+00  1.172154E-05  0.000000E+00
   2.32500       0.00000      1.038365E-05  0.000000E+00  1.038365E-05  0.000000E+00
   2.34000       0.00000      9.198238E-06  0.000000E+00  9.198238E-06  0.000000E+00
   2.35500       0.00000      8.181787E-06  0.000000E+00  8.181787E-06  0.000000E+00
   2.37000       0.00000      7.247704E-06  0.000000E+00  7.247704E-06  0.000000E+00
